name,kind,source_kind,source_url,protocol,card_id,reported_rhae,scorecard_reported_rhae,games_with_public_human_data,complete_public25,game_balanced_midrank_percentile,pooled_strict_win_percent,top_decile_games,best_observed_human_games
"Tycho (GPT-5.6 Sol, selected orchestrator)",AI,official ARC Prize scorecard,https://arcprize.org/scorecards/18d94e34-fee4-4fa9-9433-b6ab76c55554,one trajectory per game,18d94e34-fee4-4fa9-9433-b6ab76c55554,100.0,100,25,True,98.47152847152847,98.52941176470588,24,22
"Tycho (Opus 5, selected orchestrator)",AI,official ARC Prize scorecard,https://arcprize.org/scorecards/08b98aa0-5df0-42c0-b501-856f553a21e9,one trajectory per game,08b98aa0-5df0-42c0-b501-856f553a21e9,100.0,100,25,True,100.0,100.0,25,25
Schema (Opus 4.8/Fable 5 fallback),AI,author-released retained-trajectory table,https://huggingface.co/datasets/schema-harness/arc-agi-3-schema-traces/blob/0a0858a9e61a68d1e83142d9e4e3d66fc779c403/claude_fable_opus/evaluation_results.csv,Opus 4.8 first; games below 80 rerun with Fable 5; better per-game trajectory retained,,98.98,,25,True,95.26999666999667,95.58823529411765,20,18
"Rodionov (GPT-5.6 Sol, fixed verification)",AI,author-released compact result table,https://github.com/astroseger/arc-3-agents-baseline1/blob/ef104f198adf2ad2a3506638dc21d0249eb8308c/papers/paper02/results/ewma_sv_v1.6_gpt-5.6-sol_xhigh_run1_table.md,one trajectory per game,,98.97,,25,True,96.37922077922077,96.17647058823529,23,22
Human Intelligence Harness,human,official ARC Prize scorecard,https://arcprize.org/scorecards/7433df56-4cde-408e-8c01-c933c3c9aac6,one trajectory per game,7433df56-4cde-408e-8c01-c933c3c9aac6,95.34512966993441,95.34512966993441,25,True,87.55059385059386,83.23529411764706,20,1
"PRO-LONG (Fable 5, first pass)",AI,25 official ARC Prize scorecards,https://github.com/alexisfox7/PRO-LONG/blob/7268de085c3dd1c531c70cf9a1bcd8c9b4d5517d/scorecards/fable_online_scorecards.txt,one Fable 5 trajectory per game; excludes selective reruns,,94.71148688042679,,25,True,88.7052947052947,90.29411764705883,15,13
Tycho (Opus 4.8 orchestrator),AI,official ARC Prize scorecard,https://arcprize.org/scorecards/5477a5f0-efe9-43ae-83c1-cda8426c318c,one trajectory per game,5477a5f0-efe9-43ae-83c1-cda8426c318c,88.49466339696033,88.49466339696033,25,True,86.14012654012654,87.05882352941177,17,17
NOOA (GPT-5.6 Sol),AI,official ARC Prize scorecard,https://arcprize.org/scorecards/7a511ea0-dfa1-47ed-8a99-52a80f3cdbaa,one trajectory per game; two-hour fleet cap,7a511ea0-dfa1-47ed-8a99-52a80f3cdbaa,85.1337982518994,85.1337982518994,25,True,81.8921411921412,82.6470588235294,15,14
OPINE-World (Opus 4.8),AI,author-released per-level action summary,https://github.com/david-courtis/opine-world/blob/e1553f29843a41a3d0b70d8a28357577d8b16849/docs/build_site_data.py,one trajectory per game; five games ended early after API errors,,78.4,,25,True,79.41565101565102,81.47058823529412,12,11
"Rodionov (GPT-5.5, original executable-world-model agent)",AI,official ARC Prize scorecard,https://arcprize.org/scorecards/a08b9324-fd82-415d-9640-4527fd2a7fba,one trajectory per game,a08b9324-fd82-415d-9640-4527fd2a7fba,63.735378449063795,63.735378449063795,25,True,63.084382284382286,67.3529411764706,9,6
Vision - Continual Learning v1,AI,official ARC Prize scorecard,https://arcprize.org/scorecards/73aaed94-060a-44c6-b851-9997366eb89d,one trajectory per game,73aaed94-060a-44c6-b851-9997366eb89d,63.15057811514715,63.15057811514715,25,True,68.27948347948347,68.23529411764706,11,11
NOOA (GPT-5.5),AI,official ARC Prize scorecard,https://arcprize.org/scorecards/b2aa2240-8cd7-41cf-ad83-edf8c2836084,one trajectory per game; two-hour fleet cap,b2aa2240-8cd7-41cf-ad83-edf8c2836084,50.221561559955525,50.221561559955525,25,True,57.602553002553,60.588235294117645,5,4
Read-Grep-Bash Agent,AI,official ARC Prize scorecard,https://arcprize.org/scorecards/35d7852f-bb5c-4d40-b0e0-df501c27ef6f,linked scorecard contains one public game,35d7852f-bb5c-4d40-b0e0-df501c27ef6f,50.2,-1,1,False,,,,
TELL,AI,official ARC Prize scorecard,https://arcprize.org/scorecards/745891d9-7efa-414f-8ec4-ec62cbffc316,one trajectory per game,745891d9-7efa-414f-8ec4-ec62cbffc316,43.9,-1,25,True,52.90755910755911,58.23529411764706,3,2
DreamTeam (released run),AI,official ARC Prize scorecard,https://arcprize.org/scorecards/831c83cf-b969-45fc-a6ce-27f9b3c4105c,one released run; paper headline averages two runs,831c83cf-b969-45fc-a6ce-27f9b3c4105c,38.056019453318136,38.056019453318136,25,True,40.17605727605728,46.470588235294116,4,4
Continual Harness,AI,official ARC Prize scorecard,https://arcprize.org/scorecards/ac3eeaf5-6ace-4d2d-bf29-9469fd00a57b,one trajectory per game,ac3eeaf5-6ace-4d2d-bf29-9469fd00a57b,20.541539499215506,20.541539499215506,25,True,26.526813926813926,32.64705882352941,1,0
a-evolve MAS Evolved,AI,official ARC Prize scorecard,https://arcprize.org/scorecards/c7147b87-aac6-498d-8916-8b37cf78756f,one trajectory per game,c7147b87-aac6-498d-8916-8b37cf78756f,12.3,-1,25,True,26.17886557886558,30.88235294117647,0,0
OpenClaw,AI,official ARC Prize scorecard,https://arcprize.org/scorecards/4793f52c-ae2a-4622-a7e1-a84b06218c97,one trajectory per game,4793f52c-ae2a-4622-a7e1-a84b06218c97,5.201920974172992,5.201920974172992,25,True,16.25285085285085,13.235294117647058,0,0
